"stem","occurrences","frequency","weight"
"ambival",11,0.000011,0.989071
"ambl",2,0.000002,0.998004
"ambler",1,0.000001,0.999002
"ambros",1,0.000001,0.999002
"ambrosi",1,0.000001,0.999002
"ambul",7,0.000007,0.993032
"ambulatori",1,0.000001,0.999002
"ambuscad",1,0.000001,0.999002
"ambush",10,0.000010,0.990060
"ameaux",2,0.000002,0.998004
"amelia'",2,0.000002,0.998004
"amen",22,0.000022,0.978262
"amend",47,0.000047,0.954134
"amendment'",1,0.000001,0.999002
"amenitskii",1,0.000001,0.999002
"america",195,0.000195,0.823000
"america'",22,0.000022,0.978262
"american",662,0.000661,0.516170
"american'",1,0.000001,0.999002
"american-jewish",1,0.000001,0.999002
"american-negro",3,0.000003,0.997008
"american-train",1,0.000001,0.999002
"americana",5,0.000005,0.995018
"amethystin",4,0.000004,0.996012
"ami",16,0.000016,0.984144
"amiabl",2,0.000002,0.998004
"amic",2,0.000002,0.998004
"amicam",1,0.000001,0.999002
"amici",3,0.000003,0.997008
"amid",15,0.000015,0.985127
"amidst",3,0.000003,0.997008
"amigo",2,0.000002,0.998004
"amin",1,0.000001,0.999002
"amino",1,0.000001,0.999002
"amiss",2,0.000002,0.998004
"amiti",1,0.000001,0.999002
"ammo",4,0.000004,0.996012
"ammoniac",1,0.000001,0.999002
"ammonium",1,0.000001,0.999002
"ammunit",18,0.000018,0.982179
"amo",3,0.000003,0.997008
"amonasro",2,0.000002,0.998004
"among",370,0.000370,0.690998
"amongst",4,0.000004,0.996012
"amor",5,0.000005,0.995018
"amori",1,0.000001,0.999002
"amorist",1,0.000001,0.999002
"amorph",7,0.000007,0.993032
"amort",5,0.000005,0.995018
"amount",222,0.000222,0.801099
"amp",3,0.000003,0.997008
"amphetamin",1,0.000001,0.999002
"amphibi",1,0.000001,0.999002
"amphibolog",1,0.000001,0.999002
"amphitheat",1,0.000001,0.999002
"ampl",16,0.000016,0.984144
"ampli",4,0.000004,0.996012
"amplif",2,0.000002,0.998004
"amplifi",15,0.000015,0.985127
"amplitud",6,0.000006,0.994024
"amput",1,0.000001,0.999002
"amra",1,0.000001,0.999002
"amsterdam",3,0.000003,0.997008
"amt",1,0.000001,0.999002
"amulet",2,0.000002,0.998004
"amus",35,0.000035,0.965640
"amusedli",1,0.000001,0.999002
"amusingli",2,0.000002,0.998004
"an",3740,0.003736,0.023846
"an'",8,0.000008,0.992040
"ana",1,0.000001,0.999002
"anabaptist",2,0.000002,0.998004
"anabel",1,0.000001,0.999002
"anachron",5,0.000005,0.995018
"anachronist",1,0.000001,0.999002
"anaconda",18,0.000018,0.982179
"anaconda'",2,0.000002,0.998004
"anaerob",1,0.000001,0.999002
"anaesthesia",1,0.000001,0.999002
"anagram",1,0.000001,0.999002
"analept",2,0.000002,0.998004
"analog",27,0.000027,0.973388
"analogu",2,0.000002,0.998004
"analys",15,0.000015,0.985127
"analysi",108,0.000108,0.897727
"analyst",13,0.000013,0.987097
"analyst'",3,0.000003,0.997008
"analyt",27,0.000027,0.973388
"analytrol",1,0.000001,0.999002
"analyz",36,0.000036,0.964676
"anania",1,0.000001,0.999002
"anaplasmosi",1,0.000001,0.999002
"anaprapath",1,0.000001,0.999002
"anarch",3,0.000003,0.997008
"anarchi",7,0.000007,0.993032
"anarchist",1,0.000001,0.999002
"anarchist-adventur",1,0.000001,0.999002
"anastomos",6,0.000006,0.994024
"anastomosi",1,0.000001,0.999002
"anastomot",1,0.000001,0.999002
"anatol",1,0.000001,0.999002
"anatom",13,0.000013,0.987097
"anatomi",9,0.000009,0.991050
"ancel",1,0.000001,0.999002
"ancestor",13,0.000013,0.987097
"ancestr",5,0.000005,0.995018
"ancestri",8,0.000008,0.992040
"anchor",28,0.000028,0.972416
"anchorag",1,0.000001,0.999002
"anchorit",3,0.000003,0.997008
"anchovi",1,0.000001,0.999002
"ancient",71,0.000071,0.931530
"ancillari",2,0.000002,0.998004
"ancistrodon",1,0.000001,0.999002
"and",28853,0.028823,0.000000
"and/or",17,0.000017,0.983161
"andean",2,0.000002,0.998004
"ander",2,0.000002,0.998004
"anderlini",1,0.000001,0.999002
"andersen",1,0.000001,0.999002
"anderson",13,0.000013,0.987097
"anderson'",4,0.000004,0.996012
"andi",33,0.000033,0.967571
"andov",3,0.000003,0.997008
"andr",4,0.000004,0.996012
"andrea",4,0.000004,0.996012
"andrei",18,0.000018,0.982179
"andrei'",2,0.000002,0.998004
"andrena",11,0.000011,0.989071
"andrew",14,0.000014,0.986112
"androfski",3,0.000003,0.997008
"andromach",1,0.000001,0.999002
"andru",12,0.000012,0.988084
"andrus",1,0.000001,0.999002
"andy'",4,0.000004,0.996012
"anecdot",14,0.000014,0.986112
"anem",2,0.000002,0.998004
"anemia",5,0.000005,0.995018
"anesthet",4,0.000004,0.996012
"anew",6,0.000006,0.994024
"angel",92,0.000092,0.912192
"angel'",3,0.000003,0.997008
"angeles'",3,0.000003,0.997008
"angeles-pasadena",1,0.000001,0.999002
"angelica",1,0.000001,0.999002
"angelico",1,0.000001,0.999002
"angelina",4,0.000004,0.996012
"angelo",8,0.000008,0.992040
"angelo'",2,0.000002,0.998004
"anger",49,0.000049,0.952229
"angi",17,0.000017,0.983161
"angl",63,0.000063,0.939004
"angleterr",1,0.000001,0.999002
"anglia",1,0.000001,0.999002
"anglican",14,0.000014,0.986112
"anglo-american",3,0.000003,0.997008
"anglo-jewish",1,0.000001,0.999002
"anglo-protest",1,0.000001,0.999002
"anglo-saxon",23,0.000023,0.977286
"anglophilia",1,0.000001,0.999002
"anglophobia",1,0.000001,0.999002
"angola",3,0.000003,0.997008
"angri",45,0.000045,0.956042
"angriest",1,0.000001,0.999002
"angrili",7,0.000007,0.993032
"angst",2,0.000002,0.998004
"anguish",10,0.000010,0.990060
"angular",16,0.000016,0.984144
"anhalt-bernburg",1,0.000001,0.999002
"anhemolyticu",1,0.000001,0.999002
"anhwei",1,0.000001,0.999002
"anhydr",2,0.000002,0.998004
"ani",1346,0.001345,0.260640
"anilin",1,0.000001,0.999002
"anim",136,0.000136,0.872965
"animal'",3,0.000003,0.997008
"animal-lik",1,0.000001,0.999002
"animos",3,0.000003,0.997008
"anion",13,0.000013,0.987097
"anis",2,0.000002,0.998004
"aniseikon",2,0.000002,0.998004
"anisotropi",1,0.000001,0.999002
"anita",2,0.000002,0.998004
"ankara",1,0.000001,0.999002
"ankl",15,0.000015,0.985127
"ankle-deep",2,0.000002,0.998004
"ann",71,0.000071,0.931530
"ann'",2,0.000002,0.998004
"anna",7,0.000007,0.993032
"annal",4,0.000004,0.996012
"annamorena",1,0.000001,0.999002
"annapoli",7,0.000007,0.993032
"anne",1,0.000001,0.999002
"anne'",4,0.000004,0.996012
"annex",1,0.000001,0.999002
"anni",1,0.000001,0.999002
"annihil",7,0.000007,0.993032
"annisberg",1,0.000001,0.999002
"anniston",17,0.000017,0.983161
"anniston'",1,0.000001,0.999002
"anniversari",22,0.000022,0.978262
"announc",149,0.000149,0.861701
"announcer'",1,0.000001,0.999002
"annoy",26,0.000026,0.974361
"annual",107,0.000107,0.898625
"annum",3,0.000003,0.997008
"annunci",1,0.000001,0.999002
"anod",78,0.000078,0.925039
"anom",1,0.000001,0.999002
"anomal",1,0.000001,0.999002
"anomali",2,0.000002,0.998004
"anomi",1,0.000001,0.999002
"anonym",19,0.000019,0.981199
"anorexia",1,0.000001,0.999002
"anorth",1,0.000001,0.999002
"anoth",684,0.000683,0.504950
"another'",5,0.000005,0.995018
"anouilh",1,0.000001,0.999002
"anselm'",1,0.000001,0.999002
"anselmo",1,0.000001,0.999002
"ansley",1,0.000001,0.999002
"anson",1,0.000001,0.999002
"ansuh",1,0.000001,0.999002
"answer",278,0.000278,0.757514
"ant",16,0.000016,0.984144
"anta",5,0.000005,0.995018
"antagon",12,0.000012,0.988084
"antagonis",1,0.000001,0.999002
"antagonist",11,0.000011,0.989071
"antar",1,0.000001,0.999002
"antarctica",1,0.000001,0.999002
"ante-bellum",3,0.000003,0.997008
"anteat",1,0.000001,0.999002
"anteced",3,0.000003,0.997008
"antelop",7,0.000007,0.993032
"antenna",17,0.000017,0.983161
"anterior",6,0.000006,0.994024
"anthea",3,0.000003,0.997008
"anthem",2,0.000002,0.998004
"antholog",4,0.000004,0.996012
"anthoni",16,0.000016,0.984144
"anthony'",1,0.000001,0.999002
"anthropolog",8,0.000008,0.992040
"anthropological-religi",1,0.000001,0.999002
"anthropologist",4,0.000004,0.996012
"anthropomorph",1,0.000001,0.999002
"anti",1,0.000001,0.999002
"anti-a",4,0.000004,0.996012
"anti-aircraft",2,0.000002,0.998004
"anti-american",3,0.000003,0.997008
"anti-assign",1,0.000001,0.999002
"anti-authoritarian",1,0.000001,0.999002
"anti-b",4,0.000004,0.996012
"anti-castro",1,0.000001,0.999002
"anti-cathol",1,0.000001,0.999002
"anti-catholic",1,0.000001,0.999002
"anti-christian",1,0.000001,0.999002
"anti-cler",1,0.000001,0.999002
"anti-colm",1,0.000001,0.999002
"anti-commun",1,0.000001,0.999002
"anti-communist",9,0.000009,0.991050
"anti-democrat",1,0.000001,0.999002
"anti-discrimin",1,0.000001,0.999002
"anti-discriminatori",1,0.000001,0.999002
"anti-freez",1,0.000001,0.999002
"anti-french",3,0.000003,0.997008
"anti-human",2,0.000002,0.998004
"anti-infect",2,0.000002,0.998004
"anti-intellectu",4,0.000004,0.996012
"anti-kennedi",1,0.000001,0.999002
"anti-liquor",1,0.000001,0.999002
"anti-missil",1,0.000001,0.999002
"anti-monopoli",4,0.000004,0.996012
"anti-nazi",2,0.000002,0.998004
"anti-negro",1,0.000001,0.999002
"anti-newtonian",1,0.000001,0.999002
"anti-organ",2,0.000002,0.998004
"anti-parti",5,0.000005,0.995018
"anti-person",1,0.000001,0.999002
"anti-polio",1,0.000001,0.999002
"anti-recess",1,0.000001,0.999002
"anti-rh",1,0.000001,0.999002
"anti-secreci",2,0.000002,0.998004
"anti-semit",32,0.000032,0.968539
"anti-slaveri",12,0.000012,0.988084
"anti-soviet",2,0.000002,0.998004
"anti-submarin",3,0.000003,0.997008
"anti-trust",26,0.000026,0.974361
"antibiot",2,0.000002,0.998004
"antibodi",21,0.000021,0.979240
"antic",5,0.000005,0.995018
"anticip",61,0.000061,0.940882
"anticipatori",1,0.000001,0.999002
"anticoagul",1,0.000001,0.999002
"anticu",1,0.000001,0.999002
"antidot",2,0.000002,0.998004
"antietam",2,0.000002,0.998004
"antifundamentalist",1,0.000001,0.999002
"antigen",12,0.000012,0.988084
"antigon",1,0.000001,0.999002
"antihistor",1,0.000001,0.999002
"antinomian",1,0.000001,0.999002
"antipathi",4,0.000004,0.996012
"antiphon",1,0.000001,0.999002
"antipod",1,0.000001,0.999002
"antiqu",23,0.000023,0.977286
"antiquarian",2,0.000002,0.998004
"antiredeposit",1,0.000001,0.999002
"antisept",6,0.000006,0.994024
"antisera",2,0.000002,0.998004
"antiserum",4,0.000004,0.996012
"antislaveri",1,0.000001,0.999002
"antisoci",2,0.000002,0.998004
"antisubmarin",5,0.000005,0.995018
"antithesi",3,0.000003,0.997008
"antithet",1,0.000001,0.999002
"antithyroid",7,0.000007,0.993032
"antitrust",1,0.000001,0.999002
"antler",3,0.000003,0.997008
"antoin",1,0.000001,0.999002
"antoine'",3,0.000003,0.997008
"antoinett",1,0.000001,0.999002
"anton",3,0.000003,0.997008
"antoni",2,0.000002,0.998004
"antonini",1,0.000001,0.999002
"antonio",6,0.000006,0.994024
"anvil",1,0.000001,0.999002
"anxieti",43,0.000043,0.957954
"anxiety-releas",1,0.000001,0.999002
"anxiou",29,0.000029,0.971445
"anxious",9,0.000009,0.991050
"any",1,0.000001,0.999002
"anybodi",42,0.000042,0.958911
"anybody'",2,0.000002,0.998004
"anybody'd",1,0.000001,0.999002
"anyhow",20,0.000020,0.980219
"anylabel",1,0.000001,0.999002
"anymor",5,0.000005,0.995018
"anyon",140,0.000140,0.869484
"anyone'",6,0.000006,0.994024
"anyplac",1,0.000001,0.999002
"anyth",280,0.000280,0.756002
"anythin",1,0.000001,0.999002
"anytim",1,0.000001,0.999002
"anyway",47,0.000047,0.954134
"anywher",39,0.000039,0.961789
"anzilotti",1,0.000001,0.999002
"aorta",3,0.000003,0.997008
"aouelloul",1,0.000001,0.999002
"ap",14,0.000014,0.986112
"apach",5,0.000005,0.995018
"apalachicola",1,0.000001,0.999002
"aparicio",1,0.000001,0.999002
"apart",155,0.000155,0.856552
"apartheid",3,0.000003,0.997008
"apartment-build",1,0.000001,0.999002
"apathet",1,0.000001,0.999002
"apathi",3,0.000003,0.997008
"ape",3,0.000003,0.997008
"apergillu",1,0.000001,0.999002
"apertur",8,0.000008,0.992040
"apex",4,0.000004,0.996012
"aphrodit",1,0.000001,0.999002
"apiec",2,0.000002,0.998004
"aplomb",1,0.000001,0.999002
"apocalyps",2,0.000002,0.998004
"apocalypt",5,0.000005,0.995018
"apocryph",1,0.000001,0.999002
"apocrypha",1,0.000001,0.999002
"apoge",2,0.000002,0.998004
"apollinair",2,0.000002,0.998004
"apollo",5,0.000005,0.995018
"apollo'",1,0.000001,0.999002
"apollonian",1,0.000001,0.999002
"apolog",13,0.000013,0.987097
"apologet",9,0.000009,0.991050
"apologi",1,0.000001,0.999002
"apologia",1,0.000001,0.999002
"apologist",1,0.000001,0.999002
"apost",1,0.000001,0.999002
"apostl",4,0.000004,0.996012
"apostol",4,0.000004,0.996012
"apothecari",3,0.000003,0.997008
"apotheosi",1,0.000001,0.999002
"app",1,0.000001,0.999002
"app.",1,0.000001,0.999002
"appal",11,0.000011,0.989071
"appalachian",2,0.000002,0.998004
"appallingli",1,0.000001,0.999002
"appaloosa",1,0.000001,0.999002
"appanag",1,0.000001,0.999002
"appar",183,0.000183,0.832925
"apparatu",29,0.000029,0.971445
"apparel",4,0.000004,0.996012
"apparit",3,0.000003,0.997008
"appeal",109,0.000109,0.896831
"appear",423,0.000423,0.655364
"appearin'",1,0.000001,0.999002
"appeas",8,0.000008,0.992040
"appel",1,0.000001,0.999002
"append",2,0.000002,0.998004
"appendag",1,0.000001,0.999002
"appendix",11,0.000011,0.989071
"appestat",5,0.000005,0.995018
"appet",2,0.000002,0.998004
"appetit",14,0.000014,0.986112
"appian",1,0.000001,0.999002
"appl",15,0.000015,0.985127
"applaud",11,0.000011,0.989071
"applaus",14,0.000014,0.986112
"applause-happi",1,0.000001,0.999002
"apple-tre",1,0.000001,0.999002
"applebi",1,0.000001,0.999002
"applejack",1,0.000001,0.999002
"appleton",1,0.000001,0.999002
"appli",210,0.000210,0.810760
"applianc",13,0.000013,0.987097
"applic",132,0.000132,0.876460
"appliqu",1,0.000001,0.999002
"appoint",84,0.000084,0.919511
"appointe",7,0.000007,0.993032
"apport",9,0.000009,0.991050
"apportion",11,0.000011,0.989071
"apprais",17,0.000017,0.983161
"appraisingli",1,0.000001,0.999002
"appreci",78,0.000078,0.925039
"apprehend",3,0.000003,0.997008
"apprehens",20,0.000020,0.980219
"apprent",1,0.000001,0.999002
"apprentic",18,0.000018,0.982179
"apprenticeship",2,0.000002,0.998004
"approach",221,0.000221,0.801899
"appropri",103,0.000103,0.902223
"approv",107,0.000107,0.898625
"approvingli",2,0.000002,0.998004
"approxim",97,0.000097,0.907647
"apricot",1,0.000001,0.999002
"april",71,0.000071,0.931530
"april-jun",1,0.000001,0.999002
"apron",8,0.000008,0.992040
"apropo",1,0.000001,0.999002
"aps",1,0.000001,0.999002
"apt",16,0.000016,0.984144
"aptitud",4,0.000004,0.996012
"aptli",4,0.000004,0.996012
"aqua-lung",1,0.000001,0.999002
"aquacuti",1,0.000001,0.999002
"aquam",1,0.000001,0.999002
"aqueduct",1,0.000001,0.999002
"aqueou",14,0.000014,0.986112
"aquidneck",2,0.000002,0.998004
"aquina",2,0.000002,0.998004
"aquisit",1,0.000001,0.999002
"arab",9,0.000009,0.991050
"arabesqu",1,0.000001,0.999002
"arabi",1,0.000001,0.999002
"arabia",1,0.000001,0.999002
"arabian",3,0.000003,0.997008
"arabian-american",1,0.000001,0.999002
"arabl",3,0.000003,0.997008
"arabs'",1,0.000001,0.999002
"arak",1,0.000001,0.999002
"aransa",1,0.000001,0.999002
"arapaci",2,0.000002,0.998004
"arata",1,0.000001,0.999002
"arbeitskommando",1,0.000001,0.999002
"arbit",5,0.000005,0.995018
"arbitr",6,0.000006,0.994024
"arbitrari",22,0.000022,0.978262
"arbitrarili",5,0.000005,0.995018
"arbogast",3,0.000003,0.997008
"arbor",2,0.000002,0.998004
"arbuckl",5,0.000005,0.995018
"arbuckle'",1,0.000001,0.999002
"arc",49,0.000049,0.952229
"arcad",6,0.000006,0.994024
"arch",32,0.000032,0.968539
"arch-enemi",1,0.000001,0.999002
"arch-heret",1,0.000001,0.999002
"arch-oppon",1,0.000001,0.999002
"archaeolog",19,0.000019,0.981199
"archaeologist",1,0.000001,0.999002
"archaic",5,0.000005,0.995018
"archaism",1,0.000001,0.999002
"archaiz",1,0.000001,0.999002
"archangel",4,0.000004,0.996012
"archbishop",8,0.000008,0.992040
"archbishops'",1,0.000001,0.999002
"archdioces",1,0.000001,0.999002
"archenemi",1,0.000001,0.999002
"archeolog",1,0.000001,0.999002
"archeri",1,0.000001,0.999002
"archfool",1,0.000001,0.999002
"archimed",1,0.000001,0.999002
"archipelago",2,0.000002,0.998004
"architect",30,0.000030,0.970476
"architect'",2,0.000002,0.998004
"architecton",1,0.000001,0.999002
"architects'",1,0.000001,0.999002
"architectur",20,0.000020,0.980219
"archiv",4,0.000004,0.996012
"archtyp",1,0.000001,0.999002
"archuleta",1,0.000001,0.999002
"arcilla",1,0.000001,0.999002
"arclik",1,0.000001,0.999002
"arco",1,0.000001,0.999002
"arctic",4,0.000004,0.996012
"arcu",1,0.000001,0.999002
"arden",3,0.000003,0.997008
"ardent",12,0.000012,0.988084
"ardmor",1,0.000001,0.999002
"ardor",3,0.000003,0.997008
"arduou",4,0.000004,0.996012
"are",4395,0.004390,0.012395
"area",560,0.000559,0.571539
"area'",2,0.000002,0.998004
"area-wid",2,0.000002,0.998004
"areaway",1,0.000001,0.999002
"aren't",36,0.000036,0.964676
"arena",10,0.000010,0.990060
"arenula",1,0.000001,0.999002
"areosol",1,0.000001,0.999002
"arequipa",1,0.000001,0.999002
"arf",1,0.000001,0.999002
"argentina",1,0.000001,0.999002
"arger",3,0.000003,0.997008
"argiento",13,0.000013,0.987097
"argiv",1,0.000001,0.999002
"argo",1,0.000001,0.999002
"argon",7,0.000007,0.993032
"argonaut",1,0.000001,0.999002
"argot",1,0.000001,0.999002
"argu",78,0.000078,0.925039
"argument",79,0.000079,0.924115
"arhat",2,0.000002,0.998004
"ariadn",3,0.000003,0.997008
"arian",1,0.000001,0.999002
"arianist",2,0.000002,0.998004
"aricara",5,0.000005,0.995018
"arid",4,0.000004,0.996012
"arigato",1,0.000001,0.999002
"arimathea",2,0.000002,0.998004
"aris",53,0.000053,0.948432
"arisen",4,0.000004,0.996012
"aristid",2,0.000002,0.998004
"aristocraci",4,0.000004,0.996012
"aristocrat",7,0.000007,0.993032
"aristotelean-thomist",1,0.000001,0.999002
"aristotelian",2,0.000002,0.998004
"aristotl",21,0.000021,0.979240
"aristotle'",6,0.000006,0.994024
"arithmet",10,0.000010,0.990060
"ariz.",5,0.000005,0.995018
"arizona",9,0.000009,0.991050
"arkabutla",1,0.000001,0.999002
"arkansa",18,0.000018,0.982179
"arkansas'",1,0.000001,0.999002
"arleigh",1,0.000001,0.999002
"arlen",39,0.000039,0.961789
"arlen'",1,0.000001,0.999002
"arlene'",1,0.000001,0.999002
"arlington",4,0.000004,0.996012
"arm",276,0.000276,0.759029
"arm'",3,0.000003,0.997008
"arm-elev",6,0.000006,0.994024
"arm-levit",2,0.000002,0.998004
"arm-ris",1,0.000001,0.999002
"armada'",1,0.000001,0.999002
"armadillo",2,0.000002,0.998004
"armageddon",1,0.000001,0.999002
"armament",5,0.000005,0.995018
"armata",2,0.000002,0.998004
"armbro",1,0.000001,0.999002
"armchair",6,0.000006,0.994024
"armenian",1,0.000001,0.999002
"armentier",1,0.000001,0.999002
"armhol",3,0.000003,0.997008
"armi",147,0.000147,0.863425
"armid",1,0.000001,0.999002
"armistead",1,0.000001,0.999002
"armistic",4,0.000004,0.996012
"armload",1,0.000001,0.999002
"armoir",1,0.000001,0.999002
"armond",1,0.000001,0.999002
"armor",7,0.000007,0.993032
"armori",1,0.000001,0.999002
"armory'",1,0.000001,0.999002
"armour",2,0.000002,0.998004
"armpit",3,0.000003,0.997008
"arms-mak",1,0.000001,0.999002
"armstrong",6,0.000006,0.994024
"army'",5,0.000005,0.995018
"arnica",1,0.000001,0.999002
"arnold",20,0.000020,0.980219
"arnold'",2,0.000002,0.998004
"arnold-fost",1,0.000001,0.999002
"arnolph",5,0.000005,0.995018
"aroma",5,0.000005,0.995018
"aromat",2,0.000002,0.998004
"aromatick",1,0.000001,0.999002
"aros",18,0.000018,0.982179
"around",562,0.000561,0.570398
"arous",33,0.000033,0.967571
"arp",6,0.000006,0.994024
"arpeggio",1,0.000001,0.999002
"arrack",1,0.000001,0.999002
"arragon",1,0.000001,0.999002
"arraign",3,0.000003,0.997008
"arrang",144,0.000144,0.866016
"array",13,0.000013,0.987097
"arrear",6,0.000006,0.994024
"arrest",46,0.000046,0.955087
"arrington",1,0.000001,0.999002
"arriv",134,0.000134,0.874711
"arrog",6,0.000006,0.994024
"arrogantli",1,0.000001,0.999002
"arrow",21,0.000021,0.979240
"arrowhead",2,0.000002,0.998004
"arroyo",3,0.000003,0.997008
"arsen",4,0.000004,0.996012
"arshinkoff",1,0.000001,0.999002
"arsid",1,0.000001,0.999002
"arsin",1,0.000001,0.999002
